scenario,base,reward,penalty,avg_shortage,full_rate,avg_waste,avg_buildings,avg_assets,avg_cash
생산 11,11,10,1,1.0143888888888888,0.422,2.2590833333333333,3.6185,78.06925,11.32275
생산 12,12,10,1,0.954861111111111,0.4406111111111111,7.504333333333333,3.62775,78.41158333333334,11.345583333333334
생산 13,13,10,1,0.954861111111111,0.4406111111111111,13.496583333333334,3.62775,78.41158333333334,11.345583333333334
생산 14,14,10,1,0.954861111111111,0.4406111111111111,19.496583333333334,3.62775,78.41158333333334,11.345583333333334
생산 15,15,10,1,0.954861111111111,0.4406111111111111,25.496583333333334,3.62775,78.41158333333334,11.345583333333334
보상 8,12,8,1,0.9539583333333334,0.44119444444444444,6.035916666666667,3.0938333333333334,65.99358333333333,11.34875
보상 9,12,9,1,0.9521527777777777,0.44183333333333336,6.7636666666666665,3.3518333333333334,72.24608333333333,11.40575
보상 10,12,10,1,0.954861111111111,0.4406111111111111,7.504333333333333,3.62775,78.41158333333334,11.345583333333334
보상 11,12,11,1,0.9507638888888889,0.44155555555555553,8.05625,3.90525,84.681,11.205333333333334
보상 12,12,12,1,0.9511805555555556,0.442,8.636333333333333,4.125083333333333,90.76941666666667,11.77025
